,Track_duration,Popularity,Danceability,Energy,Key,Loudness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Year
205,243506,0,0.366,0.791,8,-5.463,0.018,0.0,0.153,0.398,76.057,2008
206,222600,70,0.716,0.85,8,-9.949,0.0631,0.00133,0.189,0.821,125.474,1973
207,216693,44,0.627,0.768,6,-7.775,0.468,0.0,0.126,0.802,100.071,2002
208,251466,35,0.723,0.722,9,-13.763,0.0184,0.0106,0.0665,0.917,95.262,1987
209,171840,28,0.568,0.367,5,-9.912,0.801,1.67e-05,0.059,0.383,94.096,1960
210,209320,84,0.762,0.7,9,-6.021,0.00261,1.56e-05,0.153,0.608,116.073,2017
211,195800,0,0.631,0.426,4,-12.617,0.521,0.000258,0.512,0.781,126.156,2017
212,225489,12,0.789,0.625,0,-2.88,0.00555,9.68e-06,0.069,0.902,131.005,2011
213,200454,96,0.707,0.681,0,-4.325,0.0632,5.15e-06,0.0322,0.646,117.999,2023
214,242000,26,0.719,0.78,0,-7.345,0.167,0.044,0.104,0.461,124.04,2013
215,231240,82,0.613,0.622,1,-5.794,0.00882,0.0,0.37,0.484,80.003,2013
216,143901,85,0.737,0.846,1,-4.51,0.00614,0.0,0.0486,0.546,87.981,2021
217,221921,29,0.452,0.876,6,-3.83,0.0501,1.58e-05,0.309,0.275,125.994,2013
218,176320,71,0.432,0.868,6,-2.01,0.00725,0.0,0.233,0.567,156.128,2013
219,169466,0,0.524,0.417,2,-11.739,0.568,0.0389,0.15,0.549,95.116,2005
220,295933,0,0.409,0.58,1,-9.689,0.0174,1.02e-05,0.0415,0.439,100.938,1991
221,175720,86,0.598,0.427,7,-8.764,0.0546,5.83e-06,0.21,0.0605,76.469,2019
222,199693,0,0.755,0.832,2,-2.741,0.0746,1.27e-06,0.291,0.735,120.032,2010
223,185608,48,0.706,0.589,2,-6.051,0.353,0.0,0.105,0.399,90.491,2015
224,162373,83,0.552,0.608,1,-9.786,0.352,0.0,0.0533,0.637,112.367,1966
225,223133,31,0.697,0.816,0,-7.216,0.00124,0.00117,0.252,0.751,102.981,1990
226,187173,64,0.674,0.686,2,-11.927,0.29,0.00322,0.189,0.814,124.204,1972
227,195669,29,0.404,0.185,0,-11.889,0.891,0.0,0.103,0.147,75.342,2014
228,208680,21,0.329,0.356,4,-6.938,0.03,2.68e-06,0.135,0.531,161.436,2011
229,237506,0,0.802,0.82,2,-9.196,0.224,0.0,0.298,0.977,128.954,1993
230,260806,12,0.706,0.92,9,-5.047,0.0105,3.85e-06,0.171,0.786,119.972,2013
231,206466,54,0.519,0.874,5,-5.122,0.0524,0.0,0.243,0.572,96.072,2001
232,162906,44,0.594,0.676,5,-9.552,0.0267,0.00541,0.905,0.898,110.71,2002
233,275440,83,0.729,0.844,5,-8.824,0.149,2.87e-06,0.0604,0.777,131.459,1975
234,234906,74,0.533,0.783,7,-10.61,0.0116,0.0565,0.186,0.726,124.874,1998
235,192333,48,0.638,0.937,0,-4.642,0.0942,0.0,0.327,0.762,100.03,1999
236,245000,51,0.534,0.269,5,-14.339,0.715,3.24e-06,0.11,0.499,108.886,1982
237,207706,45,0.516,0.922,0,-3.043,0.0213,1.3e-05,0.158,0.456,99.086,1989
